UEN,WEBSITE,SOURCES,pred_label,true_pred
196000058W,tching.com,ORBIS,C,B
196000058W,NAMWANTEA.COM.SG,SGNIC,C,B
196400122D,www.irco.com,ORBIS,B,B
197300451R,www.hitachi-hightech.com,ORBIS,B,B
197300451R,HITACHIHIGHTECH.COM.SG,SGNIC,B,B
197300451R,HITACHI-HIGHTECH.COM.SG,SGNIC,B,B
197400260M,www.nachinip.com.sg,ORBIS,B,B
197400730G,www.siix.co.jp,ORBIS,B,B
197400730G,SIIX.COM.SG,SGNIC,B,B
197500764M,www.dunlopilloworld.com,ORBIS,C,C
197500764M,DUNLOPSINGAPORE.COM.SG,SGNIC,C,C
197501465R,www.craneww.com,ORBIS,B,B
197600469G,www.grandluxe.com,ORBIS,B,B
197600469G,GRANDLUXE.COM.SG,SGNIC,B,B
197602186H,www.inabata.co.jp,ORBIS,B,B
197800609G,www.ty-top.com,ORBIS,B,B
197801993R,www.sinhengchan.com.sg,ORBIS,C,B
197900383D,www.fohfoh.com,ORBIS,C,B
197900383D,ALGO.COM.SG,SGNIC,C,B
197900383D,LOCKNLOCK.COM.SG,SGNIC,C,B
197900956E,www.khs.com/en,ORBIS,B,B
197901051R,www.atlascopco.com/en-sg,ORBIS,B,B
197902974C,www.lvmh.com/houses/wines-spirits,ORBIS,B,B
197902974C,LIVELIFETOTHEFULL.COM.SG,SGNIC,B,B
197902974C,PARADIS.COM.SG,SGNIC,B,B
197902974C,THISISME.COM.SG,SGNIC,B,B
197903265N,www.ayambrand.com.sg,ORBIS,C,C
198001526W,www.kobe-shipchandler.com/publics/index/22,ORBIS,B,B
198001526W,KOBETH.COM.SG,SGNIC,B,B
198002293G,www.bando.com.sg,ORBIS,C,B
198100504W,www.tatatechnologies.com,ORBIS,B,B
198100504W,TATATECHNOLOGIES.COM.SG,SGNIC,B,B
198100897H,www.cambert.com.my/contact_us.php,ORBIS,B,C
198100897H,CAMBERT.COM.SG,SGNIC,B,C
198100897H,THEPRIME.SG,SGNIC,B,C
198102570R,www.shi.co.jp/plastics/english,ORBIS,B,B
198102570R,SPMS.SG,SGNIC,B,B
