UEN,WEBSITE,SOURCES,pred_label,true_pred
198102708D,www.sysdgn.com.sg,ORBIS,B,B
198104618N,www.kcprofessional.com.sg,ORBIS,B,C
198105124G,www.pegasus.com.sg,ORBIS,B,B
198200267G,www.quantiumsolutions.com,ORBIS,B,B
198200835N,www.lioncorp.com.sg,ORBIS,B,B
198203083H,www.shriro.com.sg,ORBIS,B,B
198203250G,www.esab.com,ORBIS,B,B
198204493R,fujimak.biz,ORBIS,B,B
198204493R,FUJIMAK.COM.SG,SGNIC,B,B
198301242G,www.town4kids.com,ORBIS,B,C
198303925H,www.mckesson.com,ORBIS,B,B
198304140Z,waseaca-singapore.com,ORBIS,B,C
198304140Z,WASEACA.COM.SG,SGNIC,B,C
198305474C,densin.com,ORBIS,B,B
198305474C,ALTO.COM.SG,SGNIC,B,B
198305474C,CFM.SG,SGNIC,B,B
198305474C,NILFISK.COM.SG,SGNIC,B,B
198305474C,NILFISK-DENSIN.COM.SG,SGNIC,B,B
198305474C,VIPERCLEANING.COM.SG,SGNIC,B,B
198402177E,www.ssi-schaefer.com,ORBIS,B,B
198402177E,SCHAEFER.COM.SG,SGNIC,B,B
198403449H,www.tipex.com.sg,ORBIS,B,C
198500393G,www.speedmark.com,ORBIS,B,B
198501315D,www.tcf.com.sg,ORBIS,B,B
198502722W,www.southerngrace.com.sg,ORBIS,C,B
198602093Z,www.glajz.com,ORBIS,B,B
198602744H,www.lfaglobal.com,ORBIS,B,B
198702466R,www.panwoodsg.com,ORBIS,B,B
198703127H,www.bbraun.com.sg,ORBIS,B,B
198703243E,www.socomec.com,ORBIS,B,B
198703243E,SOCOMECSICON.COM.SG,SGNIC,B,B
198703410D,www.savills.com.sg,ORBIS,C,B
198703410D,GROSVENORHILLVENTURES.COM.SG,SGNIC,C,B
198703410D,JOINTHEBEST.COM.SG,SGNIC,C,B
198703410D,LIVETHERE.COM.SG,SGNIC,C,B
198703410D,SAVILS.SG,SGNIC,C,B
198703410D,WORKTHERE.COM.SG,SGNIC,C,B
198801211R,www.sfcpl.com,ORBIS,C,B
198804318R,www.hmi.com.sg,ORBIS,C,B
198804318R,HMI.SG,SGNIC,C,B
198804318R,hmi-ihs.com/,GMAP,C,B
198900832G,teekay.com,ORBIS,B,B
198901526K,www.o2plants.com.sg,ORBIS,B,B
198901526K,O2PLANTS.SG,SGNIC,B,B
198901526K,ONEO2.COM.SG,SGNIC,B,B
198901526K,ONEO2HYDRO.COM.SG,SGNIC,B,B
198901526K,ONEO2HYDROCULTURE.COM.SG,SGNIC,B,B
198901526K,ONEO2PLANTS.COM.SG,SGNIC,B,B
198905612N,www.michelin.com.sg,ORBIS,B,B
199001677M,huantrading.com,ORBIS,B,B
199002116H,www.francoasia.com,ORBIS,B,B
199002116H,FRANCOASIA.COM.SG,SGNIC,B,B
199002323W,www.worldship.com.sg,ORBIS,C,B
199004895N,www.hasbro.com/en-sg,ORBIS,C,C
199004895N,HASBRO.COM.SG,SGNIC,C,C
199005016D,www.kikkoman.com.sg,ORBIS,B,B
199005016D,DELMONTE-ASIA.COM.SG,SGNIC,B,B
199005825C,www.acer.com,ORBIS,C,C
199100202W,www.adk.com.sg,ORBIS,B,B
199100202W,SCOOPADWORLD.COM.SG,SGNIC,B,B
199101613R,itsoln.com,ORBIS,B,B
199102234K,www.pclsg.com,ORBIS,B,B
199102236M,sg.gpbatteries.com,ORBIS,C,C
199104723M,www.trinitycasket.com,ORBIS,C,B
199104723M,KIASUPATIENTS.COM.SG,SGNIC,C,B
199104723M,TRINITYCASKET.COM.SG,SGNIC,C,B
199104892E,www.spectec.net,ORBIS,C,B
199104892E,SPECTEC.COM.SG,SGNIC,C,B
199105436K,www.hsqs.com.sg,ORBIS,B,B
199200276N,www.yoursingapore.biz/it/gettingthere/travelinfo.php,ORBIS,C,B
199201308W,www.laundryunlimited.com.sg,ORBIS,B,B
199202103K,www.icresource.com.sg,ORBIS,B,C
199202190M,qualmac.com,ORBIS,B,C
199202731N,www.jsw.com.sg,ORBIS,B,B
199203118N,trelleborg.com/en/marine-systems,ORBIS,C,B
199301866H,kitchoan.com.sg,ORBIS,C,B
199304301N,www.sinaco.sg,ORBIS,B,B
199305188Z,www.softwareag.com.sg,ORBIS,B,B
199305188Z,ARIS.SG,SGNIC,B,B
199305401E,www.dsv.com,ORBIS,B,B
199305799K,www.procolor.com.sg,ORBIS,C,B
199305866N,www.whirlpool.com.sg,ORBIS,C,C
199305866N,ARISTONCHANNEL.COM.SG,SGNIC,C,C
199401311C,www.nucleussoftware.com,ORBIS,B,B
199401311C,NUCLEUSSOFTWARE.COM.SG,SGNIC,B,B
199402303G,www.sg.renesas.com,ORBIS,B,B
199402607N,iwarnaaquafarm.com,ORBIS,C,B
199404263C,www.gfps.com,ORBIS,C,B
199405076N,chickyfun.com.sg,ORBIS,B,B
199407265M,www.mtpl.com.sg,ORBIS,B,B
199409187W,www.christofle.com/eu_en,ORBIS,C,B
199409308R,unico.com.sg,ORBIS,B,B
199500874K,www.mektec.com,ORBIS,B,B
199500874K,MEKTEC.COM.SG,SGNIC,B,B
199503400H,www.cine-equipment.com,ORBIS,C,B
199506581E,lappapac.lappgroup.com,ORBIS,C,C
199506705R,www.wtfe.de,ORBIS,B,B
199508250E,www.shinetsu-encap-mat.jp/e/contact,ORBIS,B,B
199508250E,SHINETSU-ELEC.SG,SGNIC,B,B
199601920W,ness.justlogin.com,ORBIS,B,B
199602260D,www.marshallcavendish.com,ORBIS,C,B
199603969Z,www.bloomberg.com/profiles/companies/0327721D:SP-sptl-holdings-pte-ltd,ORBIS,B,B
199604827H,www.syniverse.com,ORBIS,B,B
199605586G,asia.tadano.com,ORBIS,B,B
199605750M,www.heidelberg.com/sg,ORBIS,B,C
199607751R,www.ruderfinnasia.com,ORBIS,B,B
199700356C,www.omron.com.sg,ORBIS,B,B
199700791R,www.aardwolfpestkare.com,ORBIS,B,B
199700791R,AARDWOLFPESTKARE.COM.SG,SGNIC,B,B
199701593E,zeppelin.sg,ORBIS,B,B
199701593E,www.zeppelin.com/de-en/systems/,GMAP,B,B
199701788R,www.bottegaveneta.com/sg,ORBIS,C,B
199702417H,www.pdxservices.com.sg,ORBIS,B,B
199705146C,www.beifangherbs.com,ORBIS,C,C
199707148R,www.bloomberg.com/profiles/companies/0670948D:SP-chanel-asia-pacific-pte-ltd,ORBIS,B,B
199800324E,www.hobart.com.sg,ORBIS,B,C
199801355K,www.nucleus-global.com,ORBIS,B,B
199803728R,www.brederoshaw.com,ORBIS,B,B
199803859Z,www.vanguardlogistics.com,ORBIS,B,B
199803859Z,VLS.COM.SG,SGNIC,B,B
199804415D,www.timesoftsg.com.sg,ORBIS,C,B
199804415D,CLOUDAPP.COM.SG,SGNIC,C,B
199804415D,TIMES-APP.COM.SG,SGNIC,C,B
199900143N,hvs.com,ORBIS,C,B
199900143N,HVSINTERNATIONAL.COM.SG,SGNIC,C,B
199900815Z,ommaterials.com,ORBIS,B,B
199901312K,www.faber-castell.com.sg,ORBIS,B,C
199904548M,www.snowcity.com.sg,ORBIS,C,C
199904845D,www.mindteck.com,ORBIS,B,C
199905393H,firststewards.sg,ORBIS,B,B
199905781M,www.commontown.com,ORBIS,B,B
199905781M,CHIJKCVT.SG,SGNIC,B,B
199905781M,EDUCATE.SG,SGNIC,B,B
199906411R,www.wph.com.sg,ORBIS,B,B
199906411R,S2M.SG,SGNIC,B,B
199906411R,SITE2MANAGE.COM.SG,SGNIC,B,B
199906584M,www.emitrophies.com.sg,ORBIS,C,B
199906584M,TROPHIES.COM.SG,SGNIC,C,B
199906584M,TROPHY.COM.SG,SGNIC,C,B
199906604E,tt-intl.com,ORBIS,B,B
199906604E,BANTA.COM.SG,SGNIC,B,B
199907850K,www.argussoftware.com,ORBIS,B,B
200000956W,justlogin.com,ORBIS,C,B
200001372H,www.drivertrett.com,ORBIS,B,B
200003718H,www.infovista.com/company/contact-us,ORBIS,B,B
200003718H,INFOVISTA.COM.SG,SGNIC,B,B
200003822K,www.migso-pcubed.com,ORBIS,B,B
200003947E,www.ebworx.com,ORBIS,B,B
200004089D,www.nova-hub.com,ORBIS,B,B
200004308N,www.haymarket.com,ORBIS,B,B
200004489C,www.i-maginationgroup.com,ORBIS,B,B
200004489C,I-MAG.COM.SG,SGNIC,B,B
200005709Z,www.freshdirect.com.sg,ORBIS,B,C
200005709Z,BREADNBETTER.COM.SG,SGNIC,B,C
200006349H,odfjell.com,ORBIS,B,B
200007241D,www.digitrend.sg,ORBIS,C,B
200007826Z,www.nuskin.com,ORBIS,C,C
200010388H,hosannabereavement.com.sg,ORBIS,B,B
200010500H,midouniforms.com.sg,ORBIS,B,B
200010500H,MIDO.COM.SG,SGNIC,B,B
200101935C,rainbowaq.com.sg,ORBIS,B,B
200103944R,tgsoel.com,ORBIS,B,B
200104348H,www.hazel.com.sg,ORBIS,C,B
200104559C,www.porsche.com,ORBIS,C,B
200104559C,PORSCHESHOP.SG,SGNIC,C,B
200106339Z,www.dalet.com,ORBIS,B,B
200107213K,www.qualica.com.sg,ORBIS,B,B
200108209Z,www.srigroup.co.jp,ORBIS,B,B
200108209Z,FALKEN-ASEAN.COM.SG,SGNIC,B,B
200108209Z,SRAT.COM.SG,SGNIC,B,B
200108209Z,SUMITOMORUBBER.COM.SG,SGNIC,B,B
200200158K,www.koch-glitsch.com,ORBIS,C,B
200200158K,koch-glitsch.com/Contact,GMAP,C,B
200200393R,neseapl.com,ORBIS,B,B
200200393R,EPTW.COM.SG,SGNIC,B,B
200200443G,ogassolutions.com,ORBIS,B,B
200200485Z,www.agsmovers.com/branches/asia/singapore/singapore,ORBIS,B,B
200201040M,www.charteredengineers.sg,ORBIS,B,B
200201040M,CETTAB.COM.SG,SGNIC,B,B
200204104H,www.rohde-schwarz.com/sg/about_singapore/overview_230191.html,ORBIS,B,B
200300245D,www.asendia.sg,ORBIS,B,B
200303643H,www.eprog.com.sg,ORBIS,B,B
200305298C,www.kimsanleng.org,ORBIS,B,B
200305343W,advantagehealthbenefits.com,ORBIS,B,B
200305892D,htsmotor.sg,ORBIS,B,B
200305976R,www.ascentis.com.sg,ORBIS,B,B
200305976R,HEY-AMIGO.COM.SG,SGNIC,B,B
200305976R,ISHOPCHANGI.COM.SG,SGNIC,B,B
200305976R,ISHOPCHANGIAIRPORT.COM.SG,SGNIC,B,B
200306376E,kiddiwinkie.edu.sg,ORBIS,B,B
200306376E,LEARNINGLEAP.EDU.SG,SGNIC,B,B
200309094N,wyn2000.com.sg,ORBIS,B,B
200310369E,halconprimo.com,ORBIS,C,B
200311525R,www.prescient.com.sg,ORBIS,B,B
200312137H,www.megcorp.com.sg,ORBIS,B,C
200312369W,gsaromatics.com,ORBIS,B,B
200312770K,www.verifone.com,ORBIS,C,C
200402835N,medilynk.com,ORBIS,B,C
200407212K,www.grindrod.com,ORBIS,B,B
200407212K,GRINDRODSHIPPING.COM.SG,SGNIC,B,B
200407212K,UNICORNSHIPPING.COM.SG,SGNIC,B,B
200408093K,www.arkema.com,ORBIS,B,B
200409722H,www.kennametal.com,ORBIS,C,B
200412961C,www.onmobile.com,ORBIS,B,B
200415827K,www.lsh.sg,ORBIS,C,C
200500126C,www.dtrans.com.sg,ORBIS,B,B
200500937C,www.menariniapac.com,ORBIS,B,B
200500937C,PHARMALINK.COM.SG,SGNIC,B,B
200501247H,www.capsulepharma.com,ORBIS,C,C
200502617E,www.titansoft.com.sg,ORBIS,B,B
200502617E,www.titansoft.com/en,GMAP,B,B
200504607E,www.menariniapac.com,ORBIS,B,B
200505706E,www.wtsengineering.com.sg,ORBIS,B,B
200506528Z,www.inttra.com,ORBIS,B,B
200507395D,www.westernbulk.com,ORBIS,B,B
200509873C,companyregister.sg,ORBIS,B,B
200510955D,yvonnecreative.com.sg,ORBIS,C,B
200512544N,www.sprg.asia,ORBIS,B,B
200512592R,www.boomzap.com,ORBIS,C,B
200515753N,www.kepcorp.com,ORBIS,B,B
200516488Z,www.vigahs.com.sg,ORBIS,B,B
200517114Z,www.dartslive.sg,ORBIS,B,B
200517114Z,DARTSLIVE.COM.SG,SGNIC,B,B
200601302C,www.charterhouse.com.sg,ORBIS,C,B
200601302C,LIFEATCHARTERHOUSE.COM.SG,SGNIC,C,B
200601302C,ROBERTSONSEARCH.COM.SG,SGNIC,C,B
200601718W,www.petit-bateau.sg,ORBIS,C,C
200603012D,www.triquesta.com,ORBIS,B,B
200607414H,www.vitakids.biz,ORBIS,B,C
200607414H,KINDERNURTURE.SG,SGNIC,B,C
200607414H,NATURESWISDOM.COM.SG,SGNIC,B,C
200607414H,VITAKIDS.SG,SGNIC,B,C
200613741K,www.milestonesys.com,ORBIS,C,B
200615749K,www.paragoncargo.com.sg,ORBIS,B,B
200615906R,www.talentplus.com,ORBIS,B,B
200615912E,www.phoenixtankers.com.sg,ORBIS,C,B
200615912E,www.motech.co.jp/en/company/outline.html,GMAP,C,B
200616710K,energyresourcing.com,ORBIS,B,B
200619056N,www.jmj.com,ORBIS,B,B
200700095M,www.whitelodge.education,ORBIS,B,B
200702117Z,www.cryostar.com/web/cryostar-singapore.php,ORBIS,C,B
200706505H,www.nypi.edu.sg/en.html,ORBIS,B,B
200706736G,www.persistent.com,ORBIS,B,B
200708442E,www.rikvin.com,ORBIS,C,B
200712480N,nk.com.sg,ORBIS,C,B
200715468E,www.ippgrp.com,ORBIS,B,B
200715837N,www.yonyou.com.sg,ORBIS,B,B
200716389D,lhnparking.com.sg,ORBIS,B,C
200716632G,www.traditionasia.com,ORBIS,B,B
200717998H,kimlygroup.sg,ORBIS,C,B
200720126E,www.sthreecareers.com,ORBIS,B,B
200722921Z,www.forbes-asia.com.sg,ORBIS,C,B
200800191G,asia-recycling.com,ORBIS,B,B
200800191G,ASIARECYCLING.COM.SG,SGNIC,B,B
200800191G,ASIA-RECYCLING.COM.SG,SGNIC,B,B
200800282Z,shaws.com.sg,ORBIS,B,B
200802673H,www.wescoair.com,ORBIS,B,B
200804658K,www.tonggarden.com.sg,ORBIS,C,C
200804658K,shop.tonggarden.com.sg/,GMAP,C,C
200805728D,omniscien.com,ORBIS,C,B
200805847M,www.studiomilou.sg,ORBIS,B,B
200808590E,www.spchemicals.com,ORBIS,B,B
200808590E,ACTPL.SG,SGNIC,B,B
200812907E,www.netgear.com,ORBIS,C,C
200812907E,NETGEARSTORE.COM.SG,SGNIC,C,C
200814312H,www.brandscapesworldwide.com,ORBIS,B,B
200815373M,www.multosinternational.com,ORBIS,B,B
200816882D,www.ldr.sg,ORBIS,C,B
200816882D,LDR.COM.SG,SGNIC,C,B
200816882D,LEARNINGTRAIL.COM.SG,SGNIC,C,B
200816882D,MLEARNING.COM.SG,SGNIC,C,B
200816882D,MOBILE-EXPLORER.COM.SG,SGNIC,C,B
200816882D,MOBILELEARNING.COM.SG,SGNIC,C,B
200816882D,MRMICE.COM.SG,SGNIC,C,B
200817123M,www.newsparkleanlaundry.com.sg,ORBIS,C,C
200817123M,newsparkleanlaundry.com.sg/,GMAP,C,C
200817575R,www.wmd.de,ORBIS,B,B
200819941E,aalshipping.com,ORBIS,B,B
200821283D,www.nomuradesign.sg,ORBIS,B,B
200821839M,www.hflleadership.com.au,ORBIS,B,B
200903073C,anafore.business.site,ORBIS,B,C
200905328H,www.farshipping.com,ORBIS,C,B
200905328H,FARSHIPPING.COM.SG,SGNIC,C,B
200906424R,www.bitsmedia.com,ORBIS,C,B
200906776E,www.spikes.asia,ORBIS,B,B
200908066D,www.welchallyn.com,ORBIS,B,B
200909087R,www.azaas.com,ORBIS,B,B
200909285D,www.enecal.com,ORBIS,B,B
200909372M,avtelglobal.com,ORBIS,B,B
200910684C,www.cytechglobal.com,ORBIS,B,B
200910820K,www.accordsingapore.com.sg,ORBIS,B,B
200911605G,www.centaur-asiapacific.com,ORBIS,B,B
200911608Z,www.betweentwotrees.sg,ORBIS,B,B
200913474H,www.p5-integrate.com,ORBIS,B,B
200913474H,P5.COM.SG,SGNIC,B,B
200917812N,www.europa-group.com,ORBIS,B,B
200918097K,www.novafurnishing.com,ORBIS,C,C
200918097K,ROZELFURNISHING.COM.SG,SGNIC,C,C
200918663R,www.orchidclub.com,ORBIS,C,B
200918663R,POPWORKSHOP.COM.SG,SGNIC,C,B
200918663R,POP-WORKSHOP.COM.SG,SGNIC,C,B
200919232E,hackerspace.sg,ORBIS,B,C
200922922W,ca-international-college.business.site,ORBIS,B,B
201001004D,www.tekla.com/sg,ORBIS,B,B
201001004D,TRIMBLEIDD.COM.SG,SGNIC,B,B
201001750E,www.blizzard.com/en-us,ORBIS,C,B
201003485G,enovax.com,ORBIS,C,B
201003485G,ENOVAX.COM.SG,SGNIC,C,B
201003971D,www.vtechnologist.com,ORBIS,B,B
201005559Z,orangetree.com.sg,ORBIS,B,B
201008266E,www.marinabaysands.com,ORBIS,C,B
201008509E,kronicles.asia,ORBIS,B,B
201009150H,www.vitablend.nl,ORBIS,B,B
201013342G,www.rohm.com,ORBIS,B,B
201015011G,www.hirose.com/sg,ORBIS,B,B
201015235E,www.cognitomedia.com,ORBIS,B,B
201015235E,FINANCEPR.COM.SG,SGNIC,B,B
201020340N,www.ramssol.com,ORBIS,C,B
201021623C,www.omcs.com.sg,ORBIS,B,B
201022955C,www.mega.com,ORBIS,B,B
201024782K,www.citylinkexpress.com,ORBIS,C,B
201024782K,CITYLINKEXPRESS.COM.SG,SGNIC,C,B
201100231E,thestakeholdercompany.com,ORBIS,B,B
201102625G,www.ldpl.com,ORBIS,B,B
201102625G,LDPL.SG,SGNIC,B,B
201103373C,www.scsoft.com,ORBIS,B,B
201103373C,SCSOFT.COM.SG,SGNIC,B,B
201105890Z,www.hyundaicorp.com,ORBIS,B,B
201108708G,www.onsight.com.sg,ORBIS,B,B
201109075W,www.trinaxmedia.com,ORBIS,B,B
201109075W,CELEBRATINGSGWOMEN.SG,SGNIC,B,B
201109075W,SYSNMH-EXHIBITION.SG,SGNIC,B,B
201109075W,THESHILLAACCESS.SG,SGNIC,B,B
201109075W,VOLTAGE.SG,SGNIC,B,B
201111609G,www.ematicsolutions.com,ORBIS,C,B
201114549M,www.shinetsu.com.sg,ORBIS,B,B
201115323H,www.nova-ship.com,ORBIS,B,B
201117437M,kiddiwinkie.edu.sg,ORBIS,B,B
201117871R,shop.mango.com/sg,ORBIS,C,B
201117899H,www.dulwich.org,ORBIS,B,B
201118918G,www.evvomedia.com,ORBIS,B,B
201118918G,TRANSFORMLIFE.SG,SGNIC,B,B
201118918G,WHITEKNIGHT.SG,SGNIC,B,B
201118918G,evvolabs.com/,GMAP,B,B
201119645E,singapore.dtdc.com,ORBIS,B,C
201120758R,www.vscomsg.com,ORBIS,B,B
201127932H,esquina.com.sg,ORBIS,C,C
201127932H,HORTUS.COM.SG,SGNIC,C,C
201127932H,MARGUERITE.COM.SG,SGNIC,C,C
201127932H,MYLOS.COM.SG,SGNIC,C,C
201128425M,meetisaac.com,ORBIS,B,B
201128425M,INCOMEECORUN.COM.SG,SGNIC,B,B
201128425M,MEETISAAC.SG,SGNIC,B,B
201128425M,THEGROCERYSTORE.COM.SG,SGNIC,B,B
201129851C,mindstretcher.com,ORBIS,B,B
201131379H,www.chevron.com,ORBIS,B,B
201133483D,www.spotify.com,ORBIS,B,B
201135917D,www.dropmysite.com,ORBIS,B,B
201135917D,DROPSUITE.SG,SGNIC,B,B
201201061N,www.vasishipping.com,ORBIS,B,B
201202307D,flabuless.rewardz.sg,ORBIS,B,B
201202307D,AIG-REWARDS.COM.SG,SGNIC,B,B
201203442K,www.capillarytech.com,ORBIS,B,B
201203732C,www.therepairhospital.com,ORBIS,B,B
201203942D,www.aastar-trading.com,ORBIS,B,B
201203950N,www.tradegecko.com,ORBIS,C,B
201204224N,www.aleph-labs.com,ORBIS,B,B
201204224N,aleph-labs.com/,GMAP,B,B
201206388C,www.heilindasia.com,ORBIS,B,B
201206388C,HEILIND.COM.SG,SGNIC,B,B
201206388C,HEILINDASIA.COM.SG,SGNIC,B,B
201207494C,sparklelivemusic.com,ORBIS,C,B
201207849K,www.iamplus.com,ORBIS,B,B
201209545R,www.luno.com,ORBIS,B,C
201211010W,kydon.com.sg,ORBIS,B,B
201211010W,MRC.COM.SG,SGNIC,B,B
201211010W,ONPENCIL.COM.SG,SGNIC,B,B
201211522E,ubersnap.com,ORBIS,B,B
201211697D,interspace.com.sg,ORBIS,B,B
201212034D,alfaconnections.com,ORBIS,B,B
201214110C,tov.com.sg,ORBIS,B,B
201216581M,www.cybersprout.com,ORBIS,B,C
201216769D,swedcham.sg,ORBIS,B,B
201217778C,www.sangfor.com,ORBIS,B,B
201221490R,juzmusic.com,ORBIS,B,B
201221598W,www.smardt.com,ORBIS,C,B
201223252K,www.emixgroup.com,ORBIS,B,B
201224366W,www.plog.com.sg,ORBIS,C,C
201225760G,findings.com.sg,ORBIS,B,B
201228064W,mrprojext.wordpress.com,ORBIS,B,B
201230536C,www.cambridgeconsultants.com,ORBIS,B,B
201230809Z,onesall.com.sg,ORBIS,B,B
201230885W,www.artnature.asia,ORBIS,B,B
201300561N,thomsonbaby.com,ORBIS,C,C
201301501N,eontraining.com.sg,ORBIS,C,C
201301501N,EON.COM.SG,SGNIC,C,C
201301501N,EONCONSULTING.COM.SG,SGNIC,C,C
201302873E,www.viddsee.com,ORBIS,B,B
201304404C,www.petrolisgroup.com,ORBIS,B,B
201304940C,www.krunchbox.com,ORBIS,B,B
201305604G,www.veeva.com,ORBIS,B,B
201309493G,watchlink.sg,ORBIS,C,B
201309493G,linktr.ee/watchlink,GMAP,C,B
201313768G,www.ladym.com.sg,ORBIS,C,B
201314929M,jackpotinteractivegames.com,ORBIS,B,C
201316579K,www.edlution.com.sg,ORBIS,B,B
201316579K,1NFINITI.COM.SG,SGNIC,B,B
201316579K,ALTITUDEMANAGEMENT.COM.SG,SGNIC,B,B
201316579K,EDWINSOFTWARECONSULTING.COM.SG,SGNIC,B,B
201316579K,EQWP.COM.SG,SGNIC,B,B
201316579K,ICODID.COM.SG,SGNIC,B,B
201317321G,www.ginkgo.com,ORBIS,B,B
201318754M,www.xactsolutions.com,ORBIS,B,B
201320439E,www.bittitan.com,ORBIS,C,B
201320439E,ANDERSON.COM.SG,SGNIC,C,B
201320439E,BITTITAN.COM.SG,SGNIC,C,B
201320716K,www.affinityship.com,ORBIS,B,B
201321646K,www.ivicinternational.com,ORBIS,B,B
201326077N,ap.mhps.com,ORBIS,B,B
201326746G,www.alphadevelopment.com,ORBIS,C,B
201328782G,www.mediamonks.com,ORBIS,B,B
201331449M,www.omegrashipping.com,ORBIS,B,B
201331856K,qualitykiosk.com,ORBIS,B,B
201331856K,qpts.org/,GMAP,B,B
201331962N,www.childfirst.com.sg,ORBIS,B,B
201333395K,monstar-lab.com/sg,ORBIS,B,B
201333395K,MONSTAR-LAB.COM.SG,SGNIC,B,B
201333395K,MONSTARLAB.SG,SGNIC,B,B
201333395K,SNACKBYINCOME.COM.SG,SGNIC,B,B
201333692C,www.bravo.aero,ORBIS,B,B
201333692C,bravo.aero/,GMAP,B,B
201334180K,jewelchangiairport.com,ORBIS,C,B
201402361C,www.logistics99.com.sg,ORBIS,B,B
201402361C,ALTURAS.SG,SGNIC,B,B
201402361C,BELGRAVIACEOFFICIAL.SG,SGNIC,B,B
201402361C,CLAYDENCECONDO.SG,SGNIC,B,B
201402361C,CONDOLAUNCH.SG,SGNIC,B,B
201402361C,DAIRYFARMWALK.COM.SG,SGNIC,B,B
201402361C,DUNMAN-GRANDS.COM.SG,SGNIC,B,B
201402361C,DUNMAN-RESIDENCES.COM.SG,SGNIC,B,B
201402361C,HILLOCK-GREENS.COM.SG,SGNIC,B,B
201402361C,IAGENT.SG,SGNIC,B,B
201402361C,IREALTOR.SG,SGNIC,B,B
201402361C,JALANANAKBUKIT.COM.SG,SGNIC,B,B
201402361C,JALANTEMBUSU.SG,SGNIC,B,B
201402361C,JDENS.SG,SGNIC,B,B
201402361C,KOVAN-JEWEL.COM.SG,SGNIC,B,B
201402361C,LAKEGARDEN-RESIDENCES.SG,SGNIC,B,B
201402361C,LENTOR-HILLSRESIDENCES.SG,SGNIC,B,B
201402361C,LENTORRESIDENCE.SG,SGNIC,B,B
201402361C,LIVMB-CONDO.SG,SGNIC,B,B
201402361C,MARINAVIEW.COM.SG,SGNIC,B,B
201402361C,MORICONDOMINIUM.COM.SG,SGNIC,B,B
201402361C,PERFECTTENS.COM.SG,SGNIC,B,B
201402361C,PINETREE-HILLS.SG,SGNIC,B,B
201402361C,SANCTUARY-NEWTON.SG,SGNIC,B,B
201402361C,SENECARESIDENCE.SG,SGNIC,B,B
201402361C,SKYWATERRESIDENCE.SG,SGNIC,B,B
201402361C,TAMPINESEC.SG,SGNIC,B,B
201402361C,TENGAHGARDENWALK.SG,SGNIC,B,B
201402361C,TERRAHILLRESIDENCES.COM.SG,SGNIC,B,B
201402361C,THEHILLS.SG,SGNIC,B,B
201402361C,THINKPROPERTY.COM.SG,SGNIC,B,B
201402361C,URBANHOME.SG,SGNIC,B,B
201403651H,www.allisonpr.com,ORBIS,B,B
201403651H,ALLISONWORLDWIDE.SG,SGNIC,B,B
201407210N,www.refuel4.com,ORBIS,B,B
201408903M,www.dragonrouge.com,ORBIS,B,B
201412143G,www.daveclark.co.nz,ORBIS,B,B
201412143G,daveclark.com.sg/,GMAP,B,B
201412276M,helixleisure.com,ORBIS,C,C
201416772G,www.proficio.com,ORBIS,B,B
201417576W,www.osm.no,ORBIS,B,B
201421118E,www.airliquide.com/singapore,ORBIS,B,B
201421885D,melodysac.com.sg,ORBIS,B,B
