UEN,WEBSITE,SOURCES,pred_label,true_pred
201216581M,www.cybersprout.com,ORBIS,B,C
201221598W,www.smardt.com,ORBIS,C,B
201309493G,watchlink.sg,ORBIS,C,B
201309493G,linktr.ee/watchlink,GMAP,C,B
201313768G,www.ladym.com.sg,ORBIS,C,B
201314929M,jackpotinteractivegames.com,ORBIS,B,C
201320439E,www.bittitan.com,ORBIS,C,B
201320439E,ANDERSON.COM.SG,SGNIC,C,B
201320439E,BITTITAN.COM.SG,SGNIC,C,B
201326746G,www.alphadevelopment.com,ORBIS,C,B
201334180K,jewelchangiairport.com,ORBIS,C,B
201428300H,epicsoft.asia,ORBIS,C,B
201431187C,burntends.com.sg,ORBIS,B,C
201431187C,MEATSMITH.COM.SG,SGNIC,B,C
201501365M,www.yoozoo.com,ORBIS,B,C
201502958R,www.taftc.org,ORBIS,C,B
201524380H,www.nissinfoods.com.sg,ORBIS,B,C
201524380H,MYOJO.SG,SGNIC,B,C
201535269C,1880.com.sg,ORBIS,B,C
201535269C,1880CABINET.COM.SG,SGNIC,B,C
201602038D,www.refash.sg,ORBIS,C,B
201609103Z,www.caterspot.sg,ORBIS,C,B
201619732M,www.grrrl.com,ORBIS,C,B
201619732M,GRRRL.COM.SG,SGNIC,C,B
201626356M,www.axtraresources.com,ORBIS,C,B
201628212R,www.mixedrealms.com,ORBIS,B,C
201631814H,thehumanbuilding.com,ORBIS,C,B
201706515G,blog.spdigital.io,ORBIS,B,C
201706515G,ENERGYTECH.SG,SGNIC,B,C
201731656R,arc-lab.site,ORBIS,B,C
196900028M,www.sandvik.com,ORBIS,B,C
196900192K,www.honestloom.com,ORBIS,B,C
196900192K,HENRYSCHOICE.COM.SG,SGNIC,B,C
196900192K,HONESTCO.COM.SG,SGNIC,B,C
197301047G,www.cmp.com.sg,ORBIS,C,B
197301047G,CMPEXPRESS.COM.SG,SGNIC,C,B
197500842Z,sinlee.com.sg,ORBIS,C,B
197701362R,www.topseller.com.sg,ORBIS,B,C
197900006K,www.yeeleeoils.com.sg,ORBIS,C,B
198000058H,www.watelier.com,ORBIS,C,B
198100891D,www.easternwin.com,ORBIS,C,B
198101135E,www.amsmotor.com.sg,ORBIS,B,C
198101526C,jfc.com.sg,ORBIS,B,C
198102340H,www.ytchotels.com,ORBIS,C,B
198104964W,www.volvocars.com/sg,ORBIS,C,B
198105984Z,www.tup.sg,ORBIS,C,B
198105984Z,tupperwarebrands.sg/,GMAP,C,B
198201667C,www.oroglobal.com,ORBIS,C,B
198402869R,www.dresort.com.sg,ORBIS,C,B
198800014D,www.calendarone.com,ORBIS,C,B
198800014D,PIERS.COM.SG,SGNIC,C,B
198800061N,www.voith.com,ORBIS,B,C
198801762D,www.hafele.com.sg,ORBIS,C,B
198801834C,www.hka.com,ORBIS,C,B
198804128Z,www.nava1872.com,ORBIS,C,B
198804128Z,1872CLIPPERTEA.COM.SG,SGNIC,C,B
198903487R,www.allianz-assistance.com.sg,ORBIS,C,B
198905526R,www.chocoexpress.com.sg,ORBIS,C,B
199102042M,www.clicktrue.biz,ORBIS,C,B
199102042M,BLP.SG,SGNIC,C,B
199102042M,CLICKTRUE.COM.SG,SGNIC,C,B
199102042M,SE-MARKETING.SG,SGNIC,C,B
199103107G,www.sick-x.com,ORBIS,C,B
199103107G,www.sick.com/sg/,GMAP,C,B
199105264W,www.ogc.com.sg,ORBIS,C,B
199202446W,www.uyemura.com.sg,ORBIS,C,B
199202468E,www.growingfun.com,ORBIS,C,B
199402142W,www.meyer.com,ORBIS,C,B
199402142W,MEYER-MHS.SG,SGNIC,C,B
199506299C,www.venturer.biz,ORBIS,C,B
199506299C,VENTURER.COM.SG,SGNIC,C,B
199604600W,www.gruposolarca.com/en/solarca-group/mtt-sabsco-asia,ORBIS,C,B
199605817M,chweesong.com.sg,ORBIS,C,B
199606935G,de.io-consultants.com,ORBIS,B,C
199607224W,www.rabbitbrand.com,ORBIS,C,B
199700295G,www.optibelt.com,ORBIS,B,C
199700295G,OPTIBELT.COM.SG,SGNIC,B,C
199703136R,www.tec-hub.com.sg,ORBIS,C,B
199704146E,www.sgnic.sg,ORBIS,B,C
199704146E,DNSSEC-BOGUS.SG,SGNIC,B,C
199704146E,NIC.NET.SG,SGNIC,B,C
199704146E,PEPPOLDIRECTORY.SG,SGNIC,B,C
199704146E,PEPPOLSMP.SG,SGNIC,B,C
199704146E,SGNIC.COM.SG,SGNIC,B,C
199704146E,SMSREGISTRY.SG,SGNIC,B,C
199704146E,WELOVE.SG,SGNIC,B,C
199708348C,www.zwick.com.sg/en.html,ORBIS,B,C
199800372G,www.geberit.com.sg,ORBIS,C,B
199803684N,athena-innovations.com,ORBIS,C,B
199804169G,www.patlite.com,ORBIS,B,C
199804653C,chapmanfreeborn.aero/en,ORBIS,C,B
199804653C,CHAPMANFREEBORN.SG,SGNIC,C,B
199804846K,www.imssg.com,ORBIS,C,B
199805228R,pennyblack.com.sg,ORBIS,C,B
199902182G,www.schiavello.com,ORBIS,C,B
199902182G,SCHIAVELLO.COM.SG,SGNIC,C,B
199904303W,xepasp.com,ORBIS,C,B
200002563M,www.eat2eat.com,ORBIS,C,B
200002756C,www.simpsonmarine.com,ORBIS,C,B
200002973D,www.terreal.com.sg,ORBIS,C,B
200006647K,www.suzukicoffee.com.sg,ORBIS,C,B
200100741E,www.aculearn.com,ORBIS,C,B
200102771R,www.ecomepl.sg,ORBIS,B,C
200102771R,ETUTORMALL.COM.SG,SGNIC,B,C
200105175C,www.farshipping.com,ORBIS,C,B
200108221W,www.adisseo.com/en,ORBIS,B,C
200203420W,www.globalinvacom.com,ORBIS,C,B
200203617K,www.efeedlink.com,ORBIS,B,C
200208244Z,globalmetal.com.sg,ORBIS,B,C
200209919N,www.cyberland.edu.sg,ORBIS,C,B
200209919N,BRIDGED.SG,SGNIC,C,B
200209924M,www.datagemini-sierra.com,ORBIS,C,B
200209924M,CHAT.COM.SG,SGNIC,C,B
200303801E,oneslp.com,ORBIS,C,B
200303801E,LANDMARKTOWER.SG,SGNIC,C,B
200303801E,MVG.COM.SG,SGNIC,C,B
200303801E,ONESLP.COM.SG,SGNIC,C,B
200303801E,SHUNFU-JADESCAPE.COM.SG,SGNIC,C,B
200303801E,SLPBIZSPACE.COM.SG,SGNIC,C,B
200303801E,SLPCONNECT.COM.SG,SGNIC,C,B
200303801E,THELANDMARKOFFICIAL.SG,SGNIC,C,B
200303801E,THELANDMARKTOWER.SG,SGNIC,C,B
200303801E,WESTCONNECT.COM.SG,SGNIC,C,B
200303801E,WESTSTAR.COM.SG,SGNIC,C,B
200308582R,www.diyi.com.sg,ORBIS,B,C
200308582R,SUXIN.SG,SGNIC,B,C
200310627R,cinegear.biz,ORBIS,C,B
200400202D,www.heritageceramics.com,ORBIS,C,B
